Time,Voltage,Current
15:20,0.0021824639,-2.251755e-09
15:20,0.0021543459,-2.1979554e-09
15:20,0.0020984085,-2.1508155e-09
15:20,0.002106332,-2.287549e-09
15:20,0.0020522175,-2.3606448e-09
15:20,0.0020787062,-2.241021e-09
15:20,0.0022666822,-2.2506346e-09
15:20,0.0021817554,-2.2903104e-09
15:20,0.0023012585,-2.2897944e-09
15:20,0.002141442,-2.2729827e-09
15:20,0.0022160108,-2.1749078e-09
15:20,0.0020947084,-2.0792499e-09
15:20,0.002333479,-2.3157654e-09
15:20,0.002100849,-2.2877482e-09
15:20,0.0021533489,-2.5473144e-09
15:20,0.0022187505,-2.2461875e-09
15:20,0.0010751461,-2.1595965e-09
15:20,4.7096488e-05,-2.1998383e-09
15:20,0.00023920242,-2.2470374e-09
15:20,0.002256427,-2.2013062e-09
15:20,0.0022440776,-2.1924762e-09
15:20,0.0022801843,-2.223942e-09
15:20,0.0023519797,-2.1669442e-09
15:20,1.2045431,-2.2361115e-09
15:20,6.464408,-2.3045261e-09
15:20,11.792186,-2.6747338e-09
15:20,11.788202,-2.5652978e-09
15:20,3.2821677,-3.676541e-09
15:20,2.3538337,-2.2000874e-09
15:20,4.0236354,-2.0744653e-09
15:20,5.134203,-2.4587685e-09
15:20,4.9504547,-3.0455771e-09
15:20,5.317661,-2.9303255e-09
15:21,9.205725,-2.0907787e-09
15:21,10.383534,-2.2117081e-09
15:21,12.283747,-2.5127838e-09
15:21,11.086838,-2.6900018e-09
15:21,10.351602,-2.7073426e-09
15:21,9.607625,-2.3970301e-09
15:21,9.224177,-2.1557467e-09
15:21,8.907144,-2.2561182e-09
15:21,8.863891,-2.411576e-09
15:21,10.626856,-2.0120312e-09
15:21,11.123974,-2.4697464e-09
